real dist,test,train,dist,neighbor number
21633.4766508,1200.tif,24_19.tif,5263.54243832,1
21660.048915,4705.tif,31_111.tif,5082.31827024,1
21674.6507238,517.tif,12_10.tif,5313.10427152,1
21703.1134633,5358.tif,12_10.tif,5308.28220802,1
21775.7812948,3376.tif,24_19.tif,5296.11480238,1
21779.1835246,3972.tif,24_19.tif,5297.06447006,1
21839.2790632,5088.tif,12_10.tif,5373.64047923,1
21862.8616379,5046.tif,12_10.tif,5370.29608122,1
21863.1833913,64.tif,12_10.tif,5354.49129236,1
21901.411507,755.tif,24_19.tif,5339.6015769,1
21928.0010489,1579.tif,12_10.tif,5385.1090054,1
21946.1849076,2748.tif,25_37.tif,5387.05429711,1
21956.8645758,4063.tif,12_10.tif,5341.23356539,1
21957.1705828,208.tif,24_19.tif,5326.68743217,1
21959.4862873,3850.tif,12_10.tif,5347.65649607,1
21968.7788919,5312.tif,12_10.tif,5352.4193595,1
21972.7508974,1045.tif,31_111.tif,5204.1111633,1
21982.135565,1953.tif,24_41.tif,5322.62454058,1
22054.7883916,408.tif,12_10.tif,5396.73215937,1
22065.8695501,1803.tif,24_19.tif,5356.23561842,1
22081.8830719,5365.tif,12_10.tif,5427.29057634,1
22095.3042975,500.tif,12_10.tif,5369.3945655,1
22099.9769004,1599.tif,24_19.tif,5386.71031335,1
22114.6053096,773.tif,12_10.tif,5402.48489123,1
22145.5521945,4339.tif,24_19.tif,5340.19082056,1
22161.2213788,3729.tif,24_19.tif,5374.96474407,1
22172.6914018,3452.tif,24_19.tif,5371.00549246,1
22190.0876519,4955.tif,12_10.tif,5438.19317421,1
22192.0260003,3893.tif,24_19.tif,5348.7477039,1
22198.6956599,4407.tif,12_10.tif,5451.0253164,1
22202.9921407,5369.tif,12_10.tif,5426.66324734,1
22222.3947179,4641.tif,12_10.tif,5455.75201049,1
22230.5746439,1424.tif,12_10.tif,5437.07982285,1
22233.1418607,72.tif,12_10.tif,5408.13738731,1
22240.5891559,596.tif,12_10.tif,5380.74520861,1
22256.1615289,2229.tif,12_10.tif,5405.03811272,1
22266.7653915,3607.tif,12_10.tif,5437.43606859,1
22295.542559,5150.tif,12_10.tif,5436.0080022,1
22317.6365236,764.tif,24_19.tif,5418.21271269,1
22323.6591983,3528.tif,12_10.tif,5408.62755235,1
22337.0791734,2322.tif,12_10.tif,5403.01166018,1
22352.6648971,1385.tif,12_10.tif,5406.61650203,1
22379.0615978,3900.tif,12_10.tif,5412.09164741,1
22384.0355611,3512.tif,12_10.tif,5505.12261444,1
22392.5949814,3071.tif,12_10.tif,5418.84812483,1
22393.694425,1498.tif,12_10.tif,5439.70853999,1
22396.6948454,3205.tif,12_10.tif,5491.25495675,1
22406.8692146,3609.tif,12_10.tif,5422.49674965,1
22412.8245877,1209.tif,25_15.tif,5451.90838148,1
22415.118871,28.tif,12_10.tif,5429.66997155,1
22444.6900402,1828.tif,12_10.tif,5443.03417222,1
22454.2018785,3404.tif,12_10.tif,5512.50160998,1
22495.1931754,2122.tif,24_41.tif,5443.67486171,1
22500.1542217,2622.tif,24_41.tif,5465.30026623,1
22557.1481132,5172.tif,12_10.tif,5490.06356976,1
22565.63879,3675.tif,12_10.tif,5446.49199026,1
22588.0771205,3547.tif,31_111.tif,5322.29461793,1
22600.1662383,4251.tif,12_10.tif,5531.59425482,1
22618.7342042,3483.tif,12_10.tif,5512.40836659,1
22623.0980416,2148.tif,24_19.tif,5467.54954253,1
22632.7454146,87.tif,24_19.tif,5464.7088669,1
22633.504236,414.tif,24_19.tif,5495.11774214,1
22634.9474928,2272.tif,12_10.tif,5537.80489003,1
22636.2104602,3521.tif,12_10.tif,5559.06332038,1
22641.4406785,2218.tif,12_10.tif,5577.45909891,1
22644.8790679,756.tif,12_10.tif,5500.47788833,1
22670.0149978,2865.tif,12_10.tif,5462.19433927,1
22670.2849342,4807.tif,12_10.tif,5462.09016769,1
22670.9642274,2302.tif,12_10.tif,5462.34024938,1
22670.9642274,5191.tif,12_10.tif,5462.34024938,1
22674.4609859,1176.tif,12_10.tif,5462.87799607,1
22674.5326302,5066.tif,12_10.tif,5462.88998608,1
22674.8831309,4577.tif,12_10.tif,5462.88989455,1
22675.3407251,2198.tif,12_10.tif,5463.17005044,1
22675.3999083,4474.tif,12_10.tif,5463.14350901,1
22675.4561586,1389.tif,12_10.tif,5463.23914908,1
22675.5804997,554.tif,12_10.tif,5463.16016606,1
22682.0923197,1250.tif,12_10.tif,5464.53566188,1
22682.3965004,1938.tif,12_10.tif,5464.53218492,1
22689.1550526,4775.tif,12_10.tif,5579.15136916,1
22689.1799984,1479.tif,12_10.tif,5526.26989931,1
22691.3522955,1341.tif,12_10.tif,5508.20660469,1
22698.4516432,3018.tif,12_10.tif,5497.92679107,1
22727.0595546,4084.tif,12_10.tif,5531.38635425,1
22729.3012871,1012.tif,12_10.tif,5523.40818698,1
22734.9594458,4664.tif,12_10.tif,5524.63790669,1
22742.0413991,887.tif,12_10.tif,5568.41701025,1
22746.8906886,2463.tif,12_10.tif,5583.91815843,1
22747.2657478,4363.tif,12_10.tif,5556.46029411,1
22752.5802053,3532.tif,12_10.tif,5552.87466093,1
22756.2178536,2221.tif,12_10.tif,5584.448227,1
22770.1282605,3197.tif,24_19.tif,5504.04941838,1
22771.3052107,1881.tif,12_10.tif,5544.91109036,1
22776.4972505,999.tif,12_10.tif,5551.65939157,1
22792.5202863,406.tif,12_10.tif,5567.17190322,1
22802.2840084,5478.tif,24_19.tif,5532.2186327,1
22816.8931934,4062.tif,12_10.tif,5552.49079243,1
22818.0546498,26.tif,12_10.tif,5580.54629942,1
22824.2785647,3057.tif,25_5.tif,5610.91356198,1
22833.3694404,1450.tif,12_10.tif,5583.89783216,1
22839.4378433,4555.tif,12_10.tif,5554.35666842,1
22839.7481378,2535.tif,24_19.tif,5518.514021,1
22852.7462901,5014.tif,12_10.tif,5591.4386342,1
22874.3235091,2874.tif,24_19.tif,5529.00669198,1
22880.7353247,3529.tif,12_10.tif,5514.99029918,1
22882.7233082,737.tif,12_10.tif,5529.2306879,1
22887.3230632,1024.tif,12_10.tif,5548.30640827,1
22889.7789417,4067.tif,31_111.tif,5437.88341177,1
22898.9297348,3619.tif,12_10.tif,5626.13855144,1
22901.501632,3980.tif,24_19.tif,5536.16410523,1
22920.5716988,438.tif,24_41.tif,5573.69240271,1
22925.7127697,4194.tif,12_10.tif,5557.38418683,1
22953.4364965,1217.tif,12_10.tif,5613.21948618,1
22955.5995565,1891.tif,12_10.tif,5622.73767839,1
22956.6572697,4302.tif,24_70.tif,5594.45153701,1
22961.5667366,4205.tif,12_10.tif,5634.54257238,1
22966.267938,2957.tif,12_10.tif,5638.52400899,1
22967.0214873,5245.tif,24_19.tif,5554.95355516,1
22969.5939668,4406.tif,12_10.tif,5612.8772479,1
22982.9932559,69.tif,24_19.tif,5568.59686097,1
23009.5925648,45.tif,12_10.tif,5648.09490005,1
23024.103457,4880.tif,12_10.tif,5625.01368887,1
23038.2534928,1969.tif,12_10.tif,5600.40891364,1
23044.7878923,4168.tif,12_10.tif,5583.53875244,1
23046.3762661,1741.tif,12_10.tif,5622.03192805,1
23047.6584277,1988.tif,24_41.tif,5603.24575581,1
23049.5241383,2618.tif,13_66.tif,5675.99797392,1
23054.9831273,4547.tif,12_10.tif,5557.15349797,1
23057.0999694,2527.tif,12_10.tif,5634.36163199,1
23062.7632343,4901.tif,12_10.tif,5648.51723906,1
23072.3012073,2570.tif,12_10.tif,5605.66829201,1
23077.2961154,3147.tif,12_10.tif,5564.24226647,1
23077.7873073,1800.tif,12_10.tif,5641.51380394,1
23080.8482296,4411.tif,12_10.tif,5620.45523067,1
23082.4322159,4878.tif,12_10.tif,5615.5948928,1
23087.2611195,5228.tif,12_10.tif,5673.78991504,1
23097.9152955,4920.tif,12_10.tif,5674.45292517,1
23142.8484418,3610.tif,12_10.tif,5680.49865769,1
23145.4234353,935.tif,12_10.tif,5615.28004644,1
23146.2121523,3560.tif,12_10.tif,5639.9735815,1
23151.5638133,1854.tif,24_19.tif,5596.73887188,1
23153.1727847,2574.tif,12_10.tif,5618.89980334,1
23159.6968244,460.tif,12_10.tif,5634.22346025,1
23171.933303,5085.tif,12_10.tif,5691.30617697,1
23176.5816505,703.tif,24_106.tif,5605.80261872,1
23182.8814214,4748.tif,12_10.tif,5697.98666197,1
23185.5446777,642.tif,12_10.tif,5666.25643613,1
23204.7539095,1185.tif,12_10.tif,5687.48063733,1
23221.059192,874.tif,24_19.tif,5635.48338654,1
23221.2525717,4010.tif,12_10.tif,5696.56361327,1
23222.6566956,1834.tif,12_10.tif,5629.27135605,1
23222.8335265,5456.tif,12_10.tif,5700.51725723,1
23236.6510496,2729.tif,12_10.tif,5708.93448903,1
23239.261305,2461.tif,12_10.tif,5663.84339473,1
23245.4730647,1922.tif,12_10.tif,5688.08983755,1
23249.8104939,4055.tif,12_10.tif,5720.23399871,1
23269.3142357,4491.tif,12_10.tif,5665.82977153,1
23279.9757517,1941.tif,24_19.tif,5637.96656606,1
23281.6406424,3073.tif,12_10.tif,5683.59147019,1
23284.6236173,5503.tif,12_10.tif,5663.69093436,1
23300.6904404,2228.tif,12_10.tif,5627.71303462,1
23301.1786397,1616.tif,12_10.tif,5741.74973331,1
23301.223058,545.tif,12_10.tif,5660.78024657,1
23317.6224345,68.tif,12_10.tif,5700.77635064,1
23332.2472128,4281.tif,12_10.tif,5702.72619017,1
23334.932269,4232.tif,24_19.tif,5664.32564389,1
23346.2588866,3080.tif,12_10.tif,5691.68823812,1
23370.926383,4394.tif,24_19.tif,5640.05797843,1
23372.2067636,2666.tif,24_19.tif,5666.2101973,1
23382.2787812,3545.tif,24_19.tif,5713.47136162,1
23382.461932,3000.tif,12_54.tif,5729.34088705,1
23391.8556553,4887.tif,19_52.tif,5648.42562136,1
23396.2470495,4992.tif,31_111.tif,5530.46336214,1
23397.507987,283.tif,12_10.tif,5693.81892933,1
23398.7905243,4048.tif,24_41.tif,5687.22427903,1
23399.155754,292.tif,12_10.tif,5722.18874208,1
23400.3126261,3204.tif,19_52.tif,5648.15261833,1
23407.551837,599.tif,12_10.tif,5661.96600131,1
23412.9295689,5146.tif,12_10.tif,5682.92336742,1
23415.5930525,4797.tif,12_10.tif,5727.05412931,1
23417.7695138,137.tif,12_10.tif,5758.31659428,1
23426.3360985,3689.tif,12_10.tif,5748.54772964,1
23430.0083867,803.tif,12_10.tif,5718.85434331,1
23431.2318712,544.tif,24_19.tif,5670.66371777,1
23433.1044038,2123.tif,12_10.tif,5667.56093924,1
23448.7801815,2742.tif,12_10.tif,5721.83362219,1
23456.7888254,161.tif,12_10.tif,5702.38581648,1
23459.970098,2993.tif,31_111.tif,5550.03423413,1
23462.5147203,3381.tif,24_19.tif,5696.63813139,1
23470.4312274,494.tif,24_19.tif,5754.20993708,1
23474.8118416,2625.tif,24_20.tif,5644.15051181,1
23475.0492651,154.tif,12_10.tif,5735.59186135,1
23480.1962087,5051.tif,12_10.tif,5744.42738661,1
23480.7896375,3505.tif,12_10.tif,5779.09560399,1
23490.9355923,1156.tif,12_10.tif,5758.18712791,1
23494.234697,2294.tif,24_19.tif,5718.79279219,1
23499.9300212,3257.tif,24_33.tif,5671.42336632,1
23507.3314309,4658.tif,12_10.tif,5737.30102051,1
23510.9421121,4274.tif,12_10.tif,5768.60806434,1
23523.5607424,5019.tif,12_10.tif,5783.95487534,1
23528.9730545,3447.tif,12_10.tif,5717.71143028,1
23531.7380574,2000.tif,12_10.tif,5731.7896856,1
23533.0989884,1863.tif,12_10.tif,5699.58989753,1
23542.2906914,170.tif,24_28.tif,5703.48612692,1
23546.7833897,370.tif,12_10.tif,5735.93043891,1
23559.323441,1506.tif,24_19.tif,5713.46059757,1
23566.0869047,2549.tif,8_14.tif,5769.76204015,1
23566.0992954,952.tif,12_10.tif,5818.58384833,1
23567.5608623,5102.tif,24_19.tif,5708.00350385,1
23571.3926827,2346.tif,40_41.tif,5743.45871405,1
23572.942222,2793.tif,12_10.tif,5740.85228864,1
23577.8006184,1771.tif,12_10.tif,5773.4792803,1
23578.1105477,2444.tif,12_10.tif,5789.88333216,1
23582.2511224,1607.tif,24_19.tif,5708.04414839,1
23583.6253786,3857.tif,12_10.tif,5744.15032881,1
23585.5183958,4763.tif,12_10.tif,5759.20367759,1
23601.2437384,2977.tif,12_10.tif,5758.48391506,1
23604.2244312,3239.tif,12_10.tif,5756.13915746,1
23609.5158993,3569.tif,35_90.tif,5746.35145114,1
23609.6815523,144.tif,31_111.tif,5613.91343004,1
23615.5732304,552.tif,12_10.tif,5767.42056729,1
23625.974964,923.tif,12_10.tif,5751.62046731,1
23628.6529874,3526.tif,12_10.tif,5745.20104087,1
23636.0179387,4295.tif,12_10.tif,5788.84573987,1
23636.527558,2438.tif,12_10.tif,5776.83962042,1
23644.6845612,758.tif,12_10.tif,5770.02746961,1
23646.0334517,1861.tif,25_82.tif,5754.71928073,1
23647.6152497,4348.tif,24_28.tif,5739.72873923,1
23651.3237473,5214.tif,12_10.tif,5762.06247797,1
23651.3317384,3634.tif,31_111.tif,5595.5690506,1
23662.5468198,4593.tif,12_10.tif,5768.4109597,1
23670.0791296,1697.tif,12_10.tif,5792.84368855,1
23678.7549293,1897.tif,12_10.tif,5767.03433317,1
23678.8695465,2350.tif,12_10.tif,5792.4121055,1
23682.8585901,5189.tif,24_19.tif,5730.01474693,1
23684.1172096,987.tif,12_118.tif,5750.54866947,1
23685.0081064,4468.tif,12_10.tif,5776.72424476,1
23687.8370477,343.tif,12_10.tif,5781.67406553,1
23692.7400695,5507.tif,12_10.tif,5761.88129,1
23693.8760231,3103.tif,12_10.tif,5768.56143245,1
23694.0671055,846.tif,24_19.tif,5759.08794863,1
23714.8010744,2019.tif,12_10.tif,5740.74080585,1
23715.5660274,1056.tif,12_10.tif,5815.6774326,1
23721.0102019,1820.tif,25_15.tif,5783.64098125,1
23724.1516181,437.tif,12_10.tif,5786.08045226,1
23726.5581364,31.tif,25_37.tif,5794.94529741,1
23729.6350583,1285.tif,12_10.tif,5769.26763116,1
23733.5785966,188.tif,35_90.tif,5756.88865621,1
23740.2377621,3211.tif,12_10.tif,5789.61363132,1
23768.7908401,179.tif,24_106.tif,5756.82681692,1
23771.9939635,4331.tif,12_10.tif,5747.14911935,1
23772.0884863,3928.tif,12_10.tif,5799.35349845,1
23777.0361904,4527.tif,12_10.tif,5777.618454,1
23778.4579609,1791.tif,12_10.tif,5833.26143765,1
23782.0300437,2644.tif,12_10.tif,5780.14740296,1
23785.2898238,6.tif,13_66.tif,5855.94467187,1
23789.306253,2443.tif,12_10.tif,5764.50509584,1
23789.6443017,2621.tif,12_10.tif,5849.77820092,1
23793.4290089,1467.tif,12_10.tif,5852.15362068,1
23799.677855,1411.tif,12_10.tif,5755.56852101,1
23801.4656481,4518.tif,12_10.tif,5847.2625219,1
23801.5804727,1786.tif,24_27.tif,5756.06141385,1
23818.4584514,4021.tif,35_57.tif,5790.53339512,1
23819.9594458,1419.tif,12_10.tif,5791.51646808,1
23822.245675,2934.tif,12_10.tif,5811.03261047,1
23822.4217703,2390.tif,12_10.tif,5838.07870793,1
23824.4567829,3163.tif,24_19.tif,5801.94941377,1
23830.1522865,2681.tif,12_10.tif,5842.63433735,1
23833.9573718,2771.tif,35_57.tif,5775.84322848,1
23839.0510927,3242.tif,12_10.tif,5805.84119659,1
23839.5809527,3033.tif,12_10.tif,5820.12121867,1
23841.6539904,4259.tif,12_10.tif,5807.22369123,1
23844.4441328,4978.tif,12_10.tif,5834.6370924,1
23845.6126992,4085.tif,25_50.tif,5787.59043126,1
23854.0570134,1086.tif,12_10.tif,5806.1872171,1
23856.1277453,2224.tif,12_10.tif,5835.27831384,1
23870.5813712,2408.tif,12_10.tif,5808.61575593,1
23875.197507,1686.tif,12_10.tif,5829.8304435,1
23879.728202,3654.tif,12_10.tif,5809.86875928,1
23889.6033663,4460.tif,12_10.tif,5803.55149887,1
23890.1722681,2862.tif,31_111.tif,5661.16233648,1
23892.8399107,4983.tif,24_19.tif,5826.87231712,1
23895.3463252,2727.tif,25_23.tif,5818.56382624,1
23897.1998987,613.tif,12_107.tif,5809.3462627,1
23904.7500092,880.tif,12_10.tif,5871.46761892,1
23907.9497239,5386.tif,12_10.tif,5827.15101915,1
23910.6605095,1926.tif,12_10.tif,5860.40911541,1
23915.7430368,3119.tif,12_10.tif,5825.06592237,1
23918.5384378,2285.tif,12_10.tif,5840.05487988,1
23931.3182044,4519.tif,12_10.tif,5870.6525191,1
23934.9673908,1848.tif,12_10.tif,5850.79909072,1
23935.4858735,2170.tif,12_10.tif,5881.61321408,1
23939.0672333,2210.tif,12_10.tif,5840.60638975,1
23945.2444339,1754.tif,12_10.tif,5862.81007709,1
23946.0171427,3591.tif,12_10.tif,5830.46301763,1
23948.4405964,2704.tif,24_19.tif,5791.43695468,1
23948.7408228,1674.tif,12_10.tif,5881.88728216,1
23951.0722516,3115.tif,12_10.tif,5860.65806885,1
23955.810339,2984.tif,12_10.tif,5865.36196666,1
23955.9823635,5123.tif,12_10.tif,5897.36025693,1
23958.4525377,164.tif,12_10.tif,5878.54505809,1
23961.1012268,4722.tif,12_10.tif,5834.46509973,1
23961.2217343,625.tif,31_111.tif,5670.14003354,1
23977.3728753,3175.tif,31_111.tif,5684.63903867,1
23979.4066232,3050.tif,12_10.tif,5904.69499636,1
23988.054548,2136.tif,12_14.tif,5863.71546035,1
23990.9141135,2454.tif,12_10.tif,5816.46120936,1
23992.3819993,232.tif,12_10.tif,5846.88506814,1
24002.1131361,4902.tif,12_10.tif,5877.23940299,1
24002.4869128,974.tif,12_10.tif,5873.20261867,1
24002.8539761,392.tif,47_87.tif,5871.28418662,1
24002.8862431,4543.tif,12_10.tif,5869.47442281,1
24003.1593962,4544.tif,12_10.tif,5855.10256101,1
24004.5720437,3548.tif,12_10.tif,5891.64671378,1
24014.8947947,4578.tif,12_10.tif,5873.75356991,1
24022.072267,4624.tif,12_10.tif,5828.40175348,1
24027.5383467,4332.tif,31_111.tif,5709.75200863,1
24029.4980597,3955.tif,12_10.tif,5867.09698232,1
24030.4739029,4149.tif,13_66.tif,5909.58171109,1
24033.8113915,3503.tif,31_111.tif,5682.04100654,1
24035.022072,5154.tif,12_10.tif,5862.92060325,1
24043.2115991,1237.tif,12_10.tif,5868.34474107,1
24045.2515479,1256.tif,12_10.tif,5905.24783561,1
24050.4492058,4735.tif,12_10.tif,5903.16101762,1
24051.9883378,5072.tif,12_10.tif,5888.90694442,1
24052.9390512,1761.tif,12_10.tif,5865.45249746,1
24055.0095406,1673.tif,12_10.tif,5876.59493244,1
24059.239244,1349.tif,12_10.tif,5901.81666947,1
24063.0757593,4204.tif,12_10.tif,5837.73791806,1
24063.8062451,4224.tif,12_10.tif,5879.57626024,1
24070.040216,3678.tif,24_41.tif,5855.10443972,1
24070.1195053,139.tif,12_10.tif,5914.08200822,1
24072.1194538,3716.tif,24_41.tif,5855.39904703,1
24074.9395846,2362.tif,12_10.tif,5871.88385444,1
24076.1917462,4412.tif,12_10.tif,5905.30253247,1
24080.5639469,63.tif,12_10.tif,5853.14650423,1
24085.1731985,2308.tif,12_10.tif,5843.34347784,1
24088.0722143,2295.tif,24_20.tif,5794.06032071,1
24088.4632137,538.tif,12_10.tif,5870.10945383,1
24093.9478915,4700.tif,12_10.tif,5910.25820079,1
24096.5172172,1585.tif,12_10.tif,5846.44840908,1
24102.2428624,5426.tif,12_10.tif,5932.61687622,1
24105.0739057,1165.tif,12_10.tif,5878.73430255,1
24111.8886859,4976.tif,12_10.tif,5892.19627983,1
24116.5118746,2745.tif,12_10.tif,5906.68053986,1
24118.2684495,2270.tif,12_10.tif,5908.76797649,1
24119.2516053,3811.tif,12_10.tif,5906.7022102,1
24121.5529558,2314.tif,12_54.tif,5900.76723825,1
24124.7924551,2381.tif,12_10.tif,5890.64826653,1
24125.615101,2353.tif,12_10.tif,5884.68835199,1
24132.1298273,1201.tif,12_10.tif,5916.57958621,1
24134.969422,3738.tif,12_10.tif,5902.91394144,1
24136.1714653,4780.tif,12_10.tif,5905.94183852,1
24139.0931064,3867.tif,12_10.tif,5898.90074505,1
24141.5212238,3009.tif,12_10.tif,5880.70854575,1
24155.7331083,1080.tif,12_10.tif,5933.31779024,1
24158.6505832,2643.tif,12_10.tif,5886.49394801,1
24159.2611021,3085.tif,35_90.tif,5852.00538277,1
24163.7673801,877.tif,12_10.tif,5908.12347535,1
24166.2040461,1258.tif,12_10.tif,5884.69965249,1
24170.1295818,4864.tif,12_10.tif,5956.12449501,1
24171.4072615,3093.tif,12_10.tif,5885.03194554,1
24172.3473622,937.tif,25_3.tif,5870.79722014,1
24174.2424287,3527.tif,12_10.tif,5929.6390278,1
24174.7384474,2660.tif,38_41.tif,5871.01303013,1
24189.1159822,306.tif,12_10.tif,5889.32661686,1
24189.8708347,23.tif,35_119.tif,5870.72278344,1
24194.2745706,5404.tif,12_10.tif,5926.0340026,1
24194.376888,3498.tif,35_74.tif,5907.47179426,1
24195.2564773,2431.tif,12_10.tif,5941.14669067,1
24197.1744218,2304.tif,24_19.tif,5885.24612909,1
24199.1168227,498.tif,12_10.tif,5927.20161628,1
24199.8158877,3482.tif,12_10.tif,5912.46293857,1
24201.8483178,776.tif,33_43.tif,5892.31015816,1
24203.8286434,1744.tif,12_10.tif,5909.13783897,1
24206.829181,3423.tif,12_10.tif,5918.4249594,1
24207.0522989,2354.tif,12_10.tif,5914.7594203,1
24213.6514182,3802.tif,12_10.tif,5916.45037163,1
24214.4647267,1606.tif,12_10.tif,5951.17568217,1
24217.4655982,29.tif,33_43.tif,5896.84890429,1
24219.098311,3856.tif,12_10.tif,5911.35187584,1
24223.7728069,2263.tif,24_20.tif,5843.48312225,1
24223.918304,812.tif,24_19.tif,5869.41402527,1
24228.1754162,1888.tif,12_10.tif,5924.5017512,1
24229.1696721,2663.tif,12_10.tif,5921.69688518,1
24232.0726724,2629.tif,12_10.tif,5886.65100036,1
24237.0487065,2516.tif,12_10.tif,5917.50935783,1
24239.1781626,5502.tif,12_10.tif,5880.94490707,1
24247.2471221,3104.tif,25_3.tif,5877.05547022,1
24248.4373311,962.tif,24_70.tif,5942.05376953,1
24253.5532654,302.tif,12_10.tif,5909.92461881,1
24254.1336065,176.tif,12_10.tif,5961.09411098,1
24260.6370691,3180.tif,12_10.tif,5919.91858052,1
24261.3191315,91.tif,24_19.tif,5869.48839338,1
24262.9183941,3621.tif,12_10.tif,5909.96006755,1
24268.8028135,4729.tif,12_10.tif,5952.99395263,1
24269.6554158,5393.tif,31_111.tif,5739.7789156,1
24273.8498801,4744.tif,12_10.tif,5971.9203779,1
24278.9001192,3043.tif,12_10.tif,5984.63064859,1
24279.283515,2090.tif,12_10.tif,5929.37323838,1
24280.8386799,1184.tif,12_10.tif,5906.3745225,1
24284.3784973,2400.tif,12_10.tif,5999.24045192,1
24287.7082081,53.tif,12_10.tif,5910.47688431,1
24290.0416014,2975.tif,24_19.tif,5924.59483847,1
24293.3581252,3910.tif,12_10.tif,5966.31175853,1
24300.9950208,4835.tif,12_10.tif,5933.52205692,1
24303.0653622,5175.tif,35_90.tif,5874.089206,1
24305.9809306,3742.tif,35_90.tif,5872.17779022,1
24309.2930378,201.tif,12_10.tif,5921.54228221,1
24314.1419137,109.tif,12_10.tif,5905.8381285,1
24323.995416,2590.tif,12_10.tif,5993.82966058,1
24324.0050362,5132.tif,12_10.tif,5950.10957882,1
24333.5919461,5131.tif,35_119.tif,5884.49131191,1
24336.2583402,242.tif,12_10.tif,5934.81524565,1
24337.2784222,11.tif,12_10.tif,5899.4440416,1
24341.1544303,4511.tif,12_10.tif,5942.23425994,1
24342.6769481,113.tif,12_10.tif,5943.17903146,1
24342.7898771,4405.tif,12_10.tif,5929.46312915,1
24343.4462228,3562.tif,12_10.tif,5969.01130842,1
24343.7618293,1736.tif,12_10.tif,5934.85130395,1
24344.1911963,1215.tif,12_10.tif,5876.27654217,1
24346.3052433,402.tif,12_10.tif,5937.4206521,1
24348.5250477,4135.tif,12_10.tif,5925.2313035,1
24349.6044937,4985.tif,12_10.tif,5942.65900082,1
24351.0021765,3312.tif,12_10.tif,5928.97782084,1
24351.5646109,1538.tif,12_10.tif,5949.84419964,1
24352.6433268,2166.tif,24_19.tif,5897.37577232,1
24354.2510252,1808.tif,12_90.tif,5940.39417884,1
24355.0770682,1084.tif,12_10.tif,5968.86278951,1
24355.3924009,472.tif,12_10.tif,5987.08201046,1
24358.2868035,1995.tif,12_10.tif,5958.4539102,1
24362.0499548,1918.tif,12_10.tif,5977.84359113,1
24363.1176987,882.tif,12_10.tif,5932.43971735,1
24365.7809438,4673.tif,12_10.tif,5965.76399131,1
24373.4127483,4746.tif,12_10.tif,5930.45596898,1
24375.6920927,1316.tif,12_10.tif,5966.2453855,1
24376.3149594,245.tif,24_19.tif,5897.01738169,1
24376.5441767,1994.tif,12_10.tif,5938.70895061,1
24377.4996462,861.tif,12_10.tif,5966.62509297,1
24380.5612733,3368.tif,12_10.tif,5950.69500143,1
24387.0997456,3522.tif,12_10.tif,5936.42013338,1
24401.7634199,497.tif,35_98.tif,5941.15325505,1
24403.6802757,4762.tif,12_10.tif,5982.64331212,1
24408.1855327,4736.tif,12_10.tif,5926.38464833,1
24408.8349783,2154.tif,12_10.tif,5951.92708289,1
24409.0307673,5258.tif,35_119.tif,5922.28190818,1
24409.9380581,2063.tif,35_119.tif,5906.1821848,1
24410.8902337,3192.tif,12_10.tif,5980.37950301,1
24412.1932853,3023.tif,12_10.tif,5979.01003511,1
